name_station,date,value
quistococha,2023-03-01,
quistococha,2023-04-01,26.415391697995428
quistococha,2023-05-01,26.720422309711285
quistococha,2023-06-01,25.559768650760127
quistococha,2023-07-01,26.495769027851853
quistococha,2023-08-01,27.25102550903389
quistococha,2023-09-01,27.644986145454347
quistococha,2023-10-01,27.843594535587982
quistococha,2023-11-01,27.76014719061179
quistococha,2023-12-01,26.974444751771813
quistococha,2024-01-01,27.14444861602499
quistococha,2024-02-01,27.316116004329093
quistococha,2024-03-01,27.36616648467083
quistococha,2024-04-01,27.30047288231518
